" Copy","Copia"
"Submit","Enviar"
"Subscribe","Suscribirse"
"Subscribed","Suscrito"
"Subscriber","Suscriptor"
"Subscribers","Suscriptores"
"Subscribers From","Suscriptores de"
"Subscription Options","Opciones de suscripción"
"Success Email Sender","Remitente de correo electrónico para operación exitosa"
"Success Email Template","Plantilla de correo electrónico para operación exitosa"
"Template Content","Contenido de la plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de la plantilla"
"Template Styles","Estilos de plantilla"
"Template Subject","Asunto de la plantilla"
"Template Type","Tipo de plantilla"
"Thank you for your subscription.","Gracias por suscribirse."
"The subscription has been removed.","La suscripción ha sido eliminada."
"The subscription has been saved.","La suscripción ha sido guardado."
"There was a problem with the subscription.","Hubo un problema con la suscripción."
"There was a problem with the subscription: %s","Hubo un problema con la suscripción: %s"
"There was a problem with the un-subscription.","Hubo un problema con la cancelación de la suscripción."
"This email address is already assigned to another user.","Esta dirección de correo ya se asignó a otro usuario."
"Type","Tipo"
"Unconfirmed","Sin confirmar"
"Unsubscribe","Desuscribirse"
"Unsubscribe Selected","Cancelar las suscripciones seleccionadas"
"Unsubscribed","Desuscrito"
"Unsubscription Email Sender","Remitente de correo electrónico para cancelar la suscripción"
"Unsubscription Email Template","Plantilla de correo electrónico para cancelar la suscripción"
"View Newsletter","Ver boletín informativo"
"Website","Sitio web"
"You have been unsubscribed.","Ha cancelado su suscripción."
"Your subscription has been confirmed.","Su suscripción ha sido confirmada."
