"%s","%s"
"%s already exist.","%s ya existen."
"%s already exists.","%s ya existe."
"-- Please Select --","-- Seleccione, por favor --"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para el enlace a la página anterior en el menú de paginación. Si queda en blanco, se utilizará la imagen de flecha predeterminada."
"An error occurred while saving. Please review the error log.","Se produjo un error al guardar. Consulte el registro de errores."
"Anchor Text for Next","Texto de ancla para página siguiente"
"Anchor Text for Previous","Texto de ancla para página anterior"
"Anchor symbol (#) is not supported in request path","El símbolo ancla (#) no está soportado en la ruta solicitada"
"Anchor symbol (#) is not supported in url rewrite suffix","El símbolo ancla (#) no está soportado en el sufijo de reescritura de url"
"Are you sure?","¿Está seguro?"
"Auto-redirect to Base URL","Redireccionar automáticamente a la dirección URL básica"
"Back","Volver atrás"
"Backup Options","Opciones de copia de seguridad"
"Base JavaScript URL","Dirección URL básica de JavaScript"
"Base Link URL","Dirección URL básica de enlace"
"Base Media URL","Dirección URL básica multimedia"
"Base Secure URL","Dirección URL básica segura"
"Base Skin URL","Dirección URL básica para apariencias"
"Base URL","Dirección URL básica"
"Base Unsecure URL","Dirección URL básica insegura"
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de modificar el código de la vista de tienda, asegúrese de que no está en uso index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Antes de modificar el código del sitio web, asegúrese de que no está en uso index.php."
"Block with name ""%s"" already exists","El bloque con el nombre ""%s"" ya existe"
"Blocks HTML output","Salida de bloques HTML"
"Browser Capabilities Detection","Detectar las capacidades del navegador"
"CSRF protection","Protección CSRF"
"CSS Settings","Configuración CSS"
"Cache Storage Management","Administración de almacenamiento de memoria caché"
"Cache storage may contain additional data. Are you sure that you want flush it?","El almacenamiento de caché puede contener datos adicionales. ¿Estás seguro de que deseas eliminarlo?"
"Can not create invoice. Order was not found.","No se puede crear la factura, porque no se encuentra el pedido."
"Can't retrieve request object","No se puede recuperar el objeto solicitado"
"Can\'t retrieve entity config: %s","No se puede recuperar la configuración de entidad: %s"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","No se puede completar esta operación desde un área que no sea de administración."
"Card type does not match credit card number.","El tipo de tarjeta no corresponde con el número de la tarjeta de crédito."
"Code","Código"
"Collection data files.","Archivos de datos de colección."
"Collections Data","Datos de colecciones"
"Comma-delimited list of files that will be included inside &lt;style&gt; tag for all templates that include use the '{{var non_inline_styles}}' variable. File path is relative to skin/frontend/PACKAGE/THEME/css/","Lista de archivos delimitada por comas que se incluirá en la etiqueta &lt;style&gt; para todas las plantillas que incluyen el uso de la variable '{{var non_inline_styles}}'. La ruta del archivo es relativa a skin/frontend/PACKAGE/THEME/css/"
"Configuration","Configuración"
"Controller file was loaded but class does not exist","Se cargó el archivo de controlador, pero la clase no existe"
"Cookie Domain","Dominio de la cookie"
"Cookie Lifetime","Ciclo de vida de la cookie"
"Cookie Path","Ruta de las cookies"
"Cookie Restriction Mode","Modo restrictivo de la cookie"
"Copyright","Derecho de la propiedad intelectual"
"Core","Núcleo"
"Countries Options","Opciones de países"
"Country","País"
"Create Store","Crear tienda"
"Create Store View","Crear vista de tienda"
"Create Website","Crear sitio web"
"Credit card number does not match credit card type.","El número de tarjeta de crédito no corresponde con el tipo de tarjeta de crédito."
"Current Package Name","Nombre actual del paquete"
"Custom Admin Path","Ruta de administración personalizada"
"Custom Admin URL","URL de administración personalizada"
"Custom Design","Diseño personalizado"
"Custom Email 1","Correo electrónico personalizado 1"
"Custom Email 2","Correo electrónico personalizado 2"
"Custom Variables","Variables personalizadas"
"Custom1 Contact Email","Correo electrónico de contacto del cliente1"
"Custom1 Contact Name","Nombre de contacto del cliente1"
"Custom2 Contact Email","Correo electrónico de contacto del cliente2"
"Custom2 Contact Name","Nombre de contacto del cliente2"
"Customer Support","Soporte al cliente"
"Dashboard","Panel de control"
"Date From","Fecha desde"
"Date To","Fecha hasta"
"Date/time format ""%s"" is not supported.","El formato de fecha/hora ""%s"" no está soportado."
"Debug","Depurar"
"Default","Predeterminado"
"Default Country","País (predeterminado)"
"Default Description","Descripción (predeterminado)"
"Default Keywords","Palabras claves (predeterminado)"
"Default No-route URL","URL de no-ruta (predeterminado)"
"Default Pages","Páginas (predeterminado)"
"Default Robots","Robots (predeterminado)"
"Default Store","Tienda (predeterminado)"
"Default Store View","Vista de tienda (predeterminado)"
"Default Title","Título (predeterminado)"
"Default Web URL","URL de web (predeterminado)"
"Delete","Eliminar"
"Delete Store","Eliminar tienda"
"Delete Store View","Eliminar vista de la tienda"
"Delete Website","Eliminar sitio web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","La eliminación de %1$s no eliminará la información asociada con %1$s (ejemp. categorías, artículos, etc.), pero el %1$s no será capaz de restaurarse. Es recomendable que haga una copia de seguirdad da la base de datos antes de eliminar %1$s."
"Design","Diseño"
"Design Change","Cambio de diseño"
"Developer","Gestionar desarrollo"
"Developer Client Restrictions","Desarrolo Restricciones del cliente"
"Disable Email Communications","Deshabilitar comunicación por correo electrónico"
"Disable Modules Output","Deshabilitar salida de módulos"
"Disabling this setting can increase security risk.","Deshabilitar esta configuración puede aumentar el riesgo de seguridad."
"Display Demo Store Notice","Mostrar noticia ""tienda de demonstración"""
"Duplicate Of Template Name","Duplicado del nombre de plantilla"
"Edit Design Change","Editar cambio de diseño"
"Edit Store","Editar tienda"
"Edit Store View","Editar vista de la tienda"
"Edit Website","Editar sitio web"
"Email - Footer","Email – Pie de página"
"Email - Header","Email – Encabezado"
"Email Footer Template","Email - Plantilla pie de página"
"Email Header Template","Email - Plantilla encabezado"
"Empty identifier field name","Vaciar el nombre del campo del identificador"
"Empty main table name","Vaciar el nombre de la tabla principal"
"Enable CAPTCHA in Admin","Habilitar el CAPTCHA en Administrador"
"Enable CAPTCHA on Frontend","Habilitar el CAPTCHA en las tiendas"
"Enable Charts","Habilitar analysis gráfica"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para el backend"
"Enabled for Frontend","Habilitado para el frontend"
"Enabling ability to run Magento in a frame is not recommended for security reasons.","Habilitar la capacidad de ejecutar Magento en un marco no se recomienda por razones de seguridad."
"Enabling this setting increases risk of automated attacks against admin functionality.","Habilitar esta opción aumenta el riesgo de ataques automatizados contra la funcionalidad de administración."
"Environment Update Time","Intervalo de actualización del entorno"
"Error in file: ""%s"" - %s","Error en el archivo: ""%s"" - %s"
"Escape CSV fields","Enmascaramiento campos CSV"
"European Union Countries","Países de la U.E."
"Exceptions Log File Name","Nombre del archivo de registro de excepciones"
"Favicon Icon","Icono de favoritos"
"File %s does not exist","El archivo %s no existe"
"File %s is not readable","El archivo %s no es legible"
"File not found","Archivo no encontrado"
"File system","Sistema de archivos"
"File with an extension ""%value%"" is protected and cannot be uploaded","El archivo con extensión ""%value%"" está protegido y no se puede subir"
"First Day of Week","Primer día de la semana"
"Flush Cache Storage","Vaciar memoria caché"
"Flush Magento Cache","Vaciar la caché de Magento"
"Footer","Pie de página"
"Forgot Password Email Sender","Contraseña olvidada Emisor de Email"
"Forgot Password Email Template","Contraseña olvidada Plantilla de Email"
"General","General"
"General Contact","Contacto general"
"General Contact Email","Contacto general - correo electrónico"
"General Contact Name","Contacto general - nombre"
"General Settings","Configuración general"
"Get info about current Magento installation","Obtener información acerca de la instalación Magento actual"
"Global","Global"
"HTML Head","Encabezado HTML"
"HTML tags are not allowed","No se admite tags de HTML"
"Header","Encabezado"
"Host","Host/Servidor"
"How many links to display at once.","¿Cuántas enlaces mostrar a la vez?"
"ID Path for Specified Store","ID de ruta para la tienda especificada"
"If present, this will be included in all Transactional Emails","Si presente, se incluirá en todos los correos electrónicos transaccionales."
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Si la posición actual del marco no cubre la mayoría de las páginas, se procesará un enlace a la posición actual más/menos este valor."
"Incorrect credit card expiration date.","La fecha de caducidad de la tarjeta de crédito es incorrecta."
"Input type ""%value%"" not found in the input types list.","El tipo de entrada ""%value%"" no se encuentra en la lista de tipos de entrada."
"Invalid MIME type.","Tipo MIME no válido."
"Invalid URL '%value%'.","URL inválida '%value%'."
"Invalid base url type","El tipo de URL base es inválido."
"Invalid block name to set child %s: %s","El nombre de bloque es inválido para configurar elemento hijo %s: %s"
"Invalid block type: %s","El tipo de bloque es inválido: %s"
"Invalid block: %s","El bloque es inválido: %s"
"Invalid connection","La conección es inválida"
"Invalid date","La data es inválida"
"Invalid image.","La imagen es inválida."
"Invalid layout update handle","El controlador para actualizar el diseño no es válido."
"Invalid messages storage ""%s"" for layout messages initialization","El almacenamiento de mensajes ""%s"" no es válido para inicializar las plantillas de mensajes."
"Invalid query","Consulta no válida"
"Invalid transactional email code: ","Código de correo electrónico transaccional invalido: "
"Invalid transactional email code: %s","Código de correo electrónico transaccional invalido: %s"
"Invalid website\'s configuration path: %s","Ruta de configuración del sitio web no válida: %s"
"JavaScript Settings","Configuración JavaScript"
"Layout","Diseño"
"Layout building instructions.","Instrucciones para construir diseño."
"Layouts","Diseños"
"Leave empty for access from any location.","Dejar en blanco para acceder desde cualquier lugar."
"List of stores","Listado de tiendas"
"Locale","Configuración regional"
"Locale Options","Opciones de configuración regional"
"Log Settings","Configuración de registro"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Registro desde Mage::log(). El archivo se encuentra ubicado en {{base_dir}}/var/log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log. Allowed file extensions: log, txt, html, csv","Registro desde Mage::log(). El archivo se encuentra ubicado en {{base_dir}}/var/log. Extensiones de archivo permitidas: log, txt, html, csv"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Registro desde Mage::logException(). El archivo se encuentra ubicado en {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log. Allowed file extensions: log, txt, html, csv","Registro desde Mage::logException(). El archivo se encuentra ubicado en {{base_dir}}/var/log. Extensiones de archivo permitidas: log, txt, html, csv"
"Login is Case Sensitive","Se distinguen mayúsculas al iniciar sesión."
"Logo Height","Altura del logotipo"
"Logo Image","Logo imagen"
"Logo Image Alt","Texto alternativo al logotipo"
"Logo Image Src","Logo imagen Src"
"Logo Width","Ancho del logotipo"
"Magento info","Información de Magento"
"Magento info API","Información de Magento API"
"Mail Sending Settings","Configuración del envío de correo"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Asegúrese de que la dirección URL base termina con '/' (barra diagonal), ej.: http://yourdomain/magento/"
"Manage Stores","Gestionar tiendas"
"Match expressions in the same order as displayed in the configuration.","Coincidir expresiones en el mismo orden como se muestra en la configuración."
"Media Storage","Almacenamiento de medios"
"Merge CSS Files","Unir archivos CSS"
"Merge JavaScript Files","Unir archivos JavaScript"
"Message recipients data must be set.","Los datos de los destinatarios del mensaje deben ser establecidos."
"Miscellaneous HTML","Diverso HTML"
"Miscellaneous Scripts","Diversos Scripts"
"Model collection resource name is not defined.","El nombre del recurso de la colección de modelo no está definido."
"Module ""%1$s"" cannot depend on ""%2$s"".","El módulo ""%1$s"" no puede depender del módulo ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","El módulo ""%1$s"" requiere el módulo ""%2$s""."
"Name","Nombre"
"New Design Change","Nuevo cambio de diseño"
"New Store","Nueva tienda"
"New Store View","Nueva vista de tienda"
"New Website","Nuevo sitio web"
"No","No"
"Non-inline CSS File(s)","Archivo(s) CSS no-inline"
"Offloader header","Encabezado del descargador"
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Solo es necesario si la imagen ha sido cargada. Ingrese el número de píxeles, sin agregar un ""px""."
"PHP SOAP extension is required.","Se requiere la extensión PHP SOAP"
"Package","Paquete"
"Page blocks HTML.","Página con bloques HTML."
"Pagination","Paginación"
"Pagination Frame","Paginación listado"
"Pagination Frame Skip","Paginación salto listado"
"Parent directory does not exist: %s","El directorio padre no existe: %s"
"Path ""%value%"" is not available and cannot be used.","La ruta ""%value%"" no está disponible y no puede usarse."
"Path ""%value%"" is protected and cannot be used.","La ruta ""%value%"" está protegida y no se puede utilizar."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","La ruta ""%value%"" no puede incluir accesos de ejecución transversal (""../"", ""..\\)."""
"Please define flag code.","Por favor, defina código del marcado."
"Please enter 6 or more characters without leading or trailing spaces.","Por favor, introduzca 6 o más caracteres sin espacios al comienzo y final."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor, introduzca 6 o más caracteres. Los espacios entre caracteres serán ignorados."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Por favor, introduzca 7 o más caracteres. La contraseña debería contener tanto caracteres numéricos como alfabéticos."
"Please enter a number 0 or greater in this field.","Por favor, introduzca 0 o un número mayor en este campo."
"Please enter a number 1 or greater in this field.","Por favor, introduzca 1 o un número mayor en este campo."
"Please enter a number greater than 0 in this field.","Por favor, introduzca un número mayor que 0 en este campo."
"Please enter a number lower than 100.","Por favor, introduzca un número menor que 100."
"Please enter a valid $ amount. For example $100.00.","Por favor, introduzca una cantidad válida en $. Por ejemplo: $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Por favor, introduzca una URL válida. Por ejemplo ""pagina-ejemplar"", ""pagina-ejemplar.html"" o ""otronivel/pagina-ejemplar""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, introduzca una URL válida. Por ejemplo http://www.ejemplo.es o  www.ejemplo.es"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Por favor, introduzca una URL válida. Protocolo es requerido (http://, https:// o ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Por favor, introduzca un identificador XML válido. Por ejemplo algo_1, bloque5, id-4."
"Please enter a valid credit card number.","Por favor, introduzca un número de tarjeta de crédito válido."
"Please enter a valid credit card verification number.","Por favor, introduzca un número de verificación válido para la tarjeta de crédito."
"Please enter a valid date between %s and %s","Por favor, introduzca una fecha válida entre %s y %s."
"Please enter a valid date equal to or greater than %s","Por favor, introduzca una fecha válida igual o a partir del %s."
"Please enter a valid date less than or equal to %s","Por favor, introduzca una fecha válida menor o antes de %s."
"Please enter a valid date.","Por favor, introduzca una fecha válida."
"Please enter a valid day (1-%d).","Por favor, introduzca un día válido (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, introduzca una dirección de correo electrónico válida. Por ejemplo: juanperez@dominio.es."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Por favor, introduzca un número de fax válido. Por ejemplo (123) 456-7890 ó 123-456-7890."
"Please enter a valid full date","Por favor, introduzca una fecha válida completa."
"Please enter a valid month (1-12).","Por favor, introduzca un mes válido (1-12)."
"Please enter a valid number in this field.","Por favor, introduzca un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, introduzca un número de teléfono válido. Por ejemplo (123) 456-7890 ó 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, introduzca un número de seguridad social válido. Por ejemplo 123-45-6789."
"Please enter a valid year (1900-%d).","Por favor, introduzca un año válido (1900-%d)."
"Please enter a valid zip code.","Por favor, introduzca un código postal (C.P.) válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, introduzca un código postal (C.P.) válido. Por ejemplo 90602 ó 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Por favor, introduzca un número de emisión o fecha de inicio para el tipo de tarjeta switch/solo."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Por favor, introduzca una longitud válida de CSS. Por ejemplo, 100px o 77pt o 20em o .5ex o 50%"
"Please make sure your passwords match.","Por favor, asegúrese que las dos contraseñas coincidan."
"Please select State/Province.","Por favor, seleccione un país/una provincia."
"Please select a file","Por favor, seleccione un archivo."
"Please select an option.","Por favor, seleccione una opción."
"Please select one of the above options.","Por favor, seleccione una de las opciones anteriores."
"Please select one of the options.","Por favor, seleccione una de las opciones."
"Please set available and/or protected paths list(s) before validation.","Por favor, indique la(s) lista(s) de rutas disponibles y/o protegidas antes de la validación."
"Please specify either a category or a product, or both.","Por favor, especifique una categoría, un producto o ambos."
"Please use letters only (a-z or A-Z) in this field.","Por favor, use sólo letras (a-z o A-Z) en este campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Por favor, use sólo números en este campo. Por favor, evite espacios o otros caracteres como puntos o comas."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use sólo letras (a-z o A-Z) o números (0-9) en este campo. No están permitidos los espacios u otros caracteres."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Por favor, use sólo letras (a-z o A-Z), números (0-9) o espacios y # en este campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use sólo letras (a-z o A-Z), números (0-9) o guion bajo (_) en este campo, el primer carácter debe ser una letra."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use sólo letras (a-z), números (0-9) o guiones bajos (_) en este campo. El primer carácter debe ser una letra."
"Please use only visible characters and spaces.","Por favor, use sólo caracteres visibles y espacios."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato para fechas: dd/mm/aaaa. Por ejemplo, 17/03/2006 para el 17 de marzo de 2006."
"Please wait, loading...","Por favor, esperen. Está cargando…"
"Polls","Encuestas"
"Port (25)","Puerto (25)"
"Profiler","Motor de perfiles"
"Recovery Link Expiration Period (days)","Periodo de caducidad del enlace de recuperación (en días)"
"Recovery Link Expiration Period (hours)","Periodo de caducidad del enlace de recuperación (en horas)"
"Request Path for Specified Store","Solicitud de ruta para la tienda especificada"
"Request path length exceeds allowed %s symbols.","Longitud de la solicitud de ruta supera los %s símbolos permitidos."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","El archivo solicitado no puede incluir accesos de ejecución tranversal (""../"", ""..\\ notación)"""
"Requested invalid store ""%s""","Solicitada tienda ""%s"" no válida"
"Resource is not set.","El recurso no está configurado."
"Retrieve info about current Magento installation","Obtener información acerca de la instalación de Magento más actual."
"Retrieve store data","Obtener datos de la tienda"
"Retrieve store list","Obtener lista de tiendas"
"Return-Path Email","Correo electrónico de ruta de retorno"
"Root Category","Categoría raíz"
"Sales Representative","Representante de ventas"
"Sales Representative Contact Email","Correo electrónico de contacto del agente de ventas"
"Sales Representative Contact Name","Nombre de contacto del agente de ventas"
"Save","Guardar"
"Save Store","Guardar tienda"
"Save Store View","Guardar vista de tienda"
"Save Website","Guardar sitio web"
"Search Engines Optimization","Optimización por motores de búsqueda"
"Secure","URL Bases seguras"
"Security","Seguridad"
"Select Date","Seleccionar fechas"
"Select Media Database","Seleccionar banco de datos para medios"
"Sender Email","Correo electrónico del remitente"
"Sender Name","Nombre del remitente"
"Services","Servicios"
"Session Cookie Management","Gestión de las sesiones y cookies"
"Session Lifetime (seconds)","Duración de la sesión (en segundos)"
"Session Validation Settings","Ajustes de validación de sesión"
"Set Return-Path","Establecer ruta de retorno"
"Set as Default","Establecer como predeterminado"
"Skin (Images / CSS)","Apariencia (Imágenes / CSS)"
"Small Logo Image Src","Fuente de la imagen del logo"
"Sort Order","Ordenación"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Fecha/hora especificada ""%1$s"" no coincide con el formato ""%2$s""."
"Start date cannot be greater than end date.","Fecha de inicio no puede ser mayor que la fecha de finalización."
"Startup Page","Página de inicio"
"Status","Estado"
"Storage Configuration for Media","Configuración del almacenamiento de medios"
"Store","Tienda"
"Store API","Tienda API"
"Store Contact Address","Tienda Dirección postal de contacto"
"Store Contact Information","Tienda Información de contacto"
"Store Contact Telephone","Tienda Teléfono de contacto"
"Store Email Addresses","Tienda Dirección electrónica"
"Store Hours of Operation","Horario de la tienda"
"Store Information","Tienda Información"
"Store Name","Tienda Nombre"
"Store View","Vista de tienda"
"Store View Information","Vista de tienda Información"
"Store View Name","Vista de tienda Nombre"
"Store view doesn't exist","La vista de tienda no existe."
"Store with the same code","Tienda con el mismo código"
"System","Gestionar sistema"
"System Log File Name","Nombre de archivo para el registro de sistema"
"System(config.xml, local.xml) and modules configuration files(config.xml).","Archivos de configuración para sistema(config.xml, local.xml) y modulo(config.xml)."
"Template Path Hints","Plantillas Pistas de la ruta"
"Template Settings","Plantillas Configuraciones"
"Template Variables","Plantillas Variables"
"Templates","Plantillas"
"Text length does not satisfy specified text range.","La longitud del texto no satisface el rango de texto señalado"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","El %s que ha introducido no es válido. Por favor asegurese de que sigue el formato ""http://domain.es/"""
"The From Date value should be less than or equal to the To Date value.","El valor ""Desde la fecha"" debe ser inferior o igual al valor ""Hasta la fecha""."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","El código de la tienda sólo puede contener letras (a-z), números (0-9) o guiones bajos (_). El primer carácter debe ser una letra."
"The store does not exist","La tienda no existe."
"The store has been deleted.","La tienda se ha eliminado."
"The store has been saved.","La tienda se ha guardado."
"The store view has been deleted.","La vista de tienda se ha eliminado."
"The store view has been saved","La vista de tienda se ha guardado."
"The template Name must not be empty.","El nombre de plantilla no debe quedar vacío."
"The value is not within the specified range.","El valor no está dentro del rango permitido."
"The website does not exist.","El sitio web no existe."
"The website has been deleted.","El sitio web se ha eliminado."
"The website has been saved.","El sitio web se ha guardado."
"Themes","Temas"
"This category and all its child elements","Esta categoría y sus elementos secundarios."
"This category and its child categories only","Sólo esta categoría y sus categorías secundarias."
"This category and its products only","Sólo esta categoría y sus artículos."
"This category only","Sólo esta categoría"
"This date is a required value.","Rellene el campo fecha."
"This is a required field.","Este es un campo obligatorio."
"This store cannot be deleted.","No se puede eliminar esta tienda."
"This store view cannot be deleted.","No se puede eliminar esta vista de tienda."
"This website cannot be deleted.","No se puede eliminar la página web."
"This will be displayed just before body closing tag.","Este texto se mostrará antes de la etiqueta de cierre del cuerpo."
"This will be included before head closing tag in page HTML.","Esto se incluirá antes de la etiqueta de cierre de cabecera en el HTML de la página."
"Timezone","Zona horaria"
"Title Prefix","Prefijo del título"
"Title Suffix","Sufijo del título"
"Transactional Emails","Correos electrónicos transaccionales"
"Translate Inline","Traducir en línea"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Traducir, bloques y otros caches de salida deben ser desactivadso para las traducciones de la parte delantera y de admininstración."
"Translation files.","Archivos para traducciones."
"Translations","Traducciones"
"Two and more slashes together are not permitted in request path","No se permiten dos o más barras juntas en la linea de solicitud"
"Two and more slashes together are not permitted in url rewrite suffix","No se permiten dos o más barras juntas en el sufijo de la url"
"Unable to create directory: %s","No se puede crear el directorio: %s"
"Unable to delete store view. Please, try again later.","No se puede eliminar la vista de tienda. Vuelva a intentarlo más tarde."
"Unable to delete store. Please, try again later.","No se puede eliminar la tienda. Vuelva a intentarlo más tarde."
"Unable to delete website. Please, try again later.","No se puede eliminar el sitio web. Vuelva a intentarlo más tarde."
"Unable to proceed. Please, try again","No se puede proceder. Por favor, inténtelo de nuevo."
"Unable to proceed. Please, try again.","No se puede proceder. Por favor, inténtelo de nuevo."
"Unable to save file ""%s"" at ""%s""","No se puede guardar fichero ""%s"" en ""%s""."
"Unable to save file: %s","No se puede guardar fichero %s."
"Unknown old style column type definition: {$definition}.","Definición de tipo de columna de estilo antiguo desconocida: {$definition}."
"Unknown scope ""%s"".","Alcance desconocido ""%s""."
"Unsecure","URL Bases no seguras"
"Url Options","Opciones de dirección URL"
"Use Custom Admin Path","Utilizar ruta de acceso de administrador personalizada"
"Use Custom Admin URL","Utilizar URL de administración personalizada"
"Use HTTP Only","Utilizar sólo HTTP"
"Use SID on Frontend","Utilizar (session-ID) SID en la parte de tienda"
"Use Secure URLs in Admin","Utilizar URLs seguras en la parte de administración"
"Use Secure URLs in Frontend","Utilizar URLs seguras en la parte de tienda"
"Use Web Server Rewrites","Utilizar las funcionalidades de las reescrituras web"
"VAT Number","Número de IVA"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
